Restaurant ID,Restaurant Name,Country,City,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
18255654,Hobing Korean Dessert Cafe,Philippines,Taguig City,"Cafe, Korean, Desserts",600,No,No,4.5,118
6308205,Wildflour Cafe + Bakery,Philippines,Taguig City,"Cafe, Bakery, American, Italian",1500,Yes,No,4.4,392
6315438,NIU by Vikings,Philippines,Taguig City,"Seafood, American, Mediterranean, Japanese",3000,Yes,No,4.7,535
6310406,The Food Hall by Todd English,Philippines,Taguig City,"American, Asian, Italian, Seafood",1800,Yes,No,4.5,618
6600681,Chez Michou,Brazil,Brasí_lia,"Fast Food, French",55,No,No,3.0,6
6601005,Cafí© Daniel Briand,Brazil,Brasí_lia,Cafe,30,No,No,3.8,9
6600292,Casa do Biscoito Mineiro,Brazil,Brasí_lia,Bakery,45,No,No,3.7,11
6600441,Maori,Brazil,Brasí_lia,Brazilian,60,No,No,3.8,11
6600970,Pizza íæ Bessa,Brazil,Brasí_lia,Pizza,50,No,No,3.2,11
6600379,Sushi Loko,Brazil,Brasí_lia,Japanese,80,No,No,3.1,10
6600214,Beirute,Brazil,Brasí_lia,Arabian,90,No,No,3.7,8
6601218,New Koto,Brazil,Brasí_lia,Japanese,200,No,No,3.7,5
6600060,Sandubas Cafí©,Brazil,Brasí_lia,"Brazilian, Cafe",30,No,No,0.0,2
6600083,Villa Tevere,Brazil,Brasí_lia,Italian,150,No,No,4.1,12
6601515,Rovereto,Brazil,Brasí_lia,Pizza,100,No,No,3.1,9
6601361,Buena Carne,Brazil,Brasí_lia,"Bar Food, Brazilian",60,No,No,3.6,9
6601602,Taco Pep,Brazil,Brasí_lia,"Mexican, Grill",100,No,No,4.3,29
6601589,Coco Bambu,Brazil,Brasí_lia,International,230,No,No,4.2,17
6601862,Taypíç,Brazil,Brasí_lia,"Peruvian, Latin American",100,No,No,3.6,5
6601595,Outback Steakhouse,Brazil,Brasí_lia,"American, Grill",150,No,No,4.0,10
6601158,Manzuíç,Brazil,Brasí_lia,Seafood,240,No,No,3.2,6
6600427,Coco Bambu,Brazil,Brasí_lia,International,230,No,No,4.9,30
6600116,Gero,Brazil,Brasí_lia,Italian,350,No,No,3.3,8
6601457,Brazilian American Burgers,Brazil,Brasí_lia,"American, Burger",50,No,No,3.6,9
7303219,Pesqueiro Eco Gourmet,Brazil,Rio de Janeiro,"Seafood, Bar Food, Brazilian",140,No,No,4.0,7
7304307,Confeitaria Colombo,Brazil,Rio de Janeiro,"Desserts, Cafe",100,No,No,4.8,29
7301215,Bibi,Brazil,Rio de Janeiro,"Juices, Healthy Food",60,No,No,4.7,24
7300596,Cervantes,Brazil,Rio de Janeiro,"Beverages, Bar Food, Fast Food",90,No,No,4.5,29
7300612,Amir,Brazil,Rio de Janeiro,Lebanese,170,No,No,4.2,11
7300704,TT Burger,Brazil,Rio de Janeiro,Burger,60,No,No,4.8,19
7300955,Braseiro da Gíçvea,Brazil,Rio de Janeiro,"Brazilian, Bar Food",100,No,No,4.9,40
7300521,Balada Mix,Brazil,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",90,No,No,4.6,21
7300515,Garota de Ipanema,Brazil,Rio de Janeiro,"Brazilian, Bar Food",120,No,No,4.9,49
7300483,Zazíç BistríÇ Tropical,Brazil,Rio de Janeiro,Brazilian,170,No,No,4.6,21
7301064,Filí© de Ouro,Brazil,Rio de Janeiro,Brazilian,90,No,No,4.3,14
7304312,D.O.C Ristorante,Brazil,Rio de Janeiro,Italian,150,No,No,4.0,5
7300004,Sushi Leblon,Brazil,Rio de Janeiro,Japanese,250,No,No,4.6,25
7300868,Talho Capixaba,Brazil,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,No,No,4.4,13
7302637,Leme Light,Brazil,Rio de Janeiro,Brazilian,40,No,No,4.2,7
7302140,Shirley,Brazil,Rio de Janeiro,"Brazilian, Seafood",250,No,No,4.2,8
7305048,Quiosque Chopp Brahma,Brazil,Rio de Janeiro,"Bar Food, Brazilian",70,No,No,0.0,1
7302898,Aprazí_vel,Brazil,Rio de Janeiro,Brazilian,300,No,No,4.7,44
7302859,Aconchego Carioca,Brazil,Rio de Janeiro,"Brazilian, Bar Food",85,No,No,4.6,24
7301700,Garota de Ipanema,Brazil,Rio de Janeiro,"Brazilian, Bar Food",80,No,No,4.3,10
6706313,Cantina Famiglia Mancini,Brazil,Sí£o Paulo,"Italian, Pizza",250,No,No,4.5,49
6704326,Templo da Carne - Marcos Bassi,Brazil,Sí£o Paulo,"Steak, BBQ",250,No,No,4.4,17
6711179,Gopala Hari,Brazil,Sí£o Paulo,Indian,70,No,No,3.1,5
6702797,Jiquitaia,Brazil,Sí£o Paulo,Brazilian,100,No,No,4.1,15
6700475,Skye - Hotel Unique,Brazil,Sí£o Paulo,"Beverages, International",300,No,No,4.8,59
6713413,Les 3 Brasseurs,Brazil,Sí£o Paulo,"French, Brazilian, Beverages",120,No,No,4.6,30
6714340,Red Steak & Burger,Brazil,Sí£o Paulo,"Brazilian, Grill",75,No,No,3.9,5
6710645,Cantinho da Gula,Brazil,Sí£o Paulo,Brazilian,55,No,No,0.0,0
6700402,Paris 6 Classique,Brazil,Sí£o Paulo,French,200,No,No,3.4,73
6700846,Kawa Sushi,Brazil,Sí£o Paulo,"Sushi, Japanese",120,No,No,3.5,9
6702159,A Figueira Rubaiyat,Brazil,Sí£o Paulo,"BBQ, Grill, Brazilian",300,No,No,4.3,39
6711666,Kinoshita,Brazil,Sí£o Paulo,Sushi,230,No,No,3.9,12
6701257,Meats,Brazil,Sí£o Paulo,"Gourmet Fast Food, Burger",120,No,No,4.3,68
6706211,Paribar,Brazil,Sí£o Paulo,"Brazilian, Italian",150,No,No,4.3,46
6705858,Terraí_o Itíçlia,Brazil,Sí£o Paulo,Italian,400,No,No,4.4,37
6701419,Divino Fogí£o,Brazil,Sí£o Paulo,"Brazilian, Mineira",65,No,No,0.0,2
6703956,Super Grill,Brazil,Sí£o Paulo,Brazilian,50,No,No,0.0,2
6709580,Esquina Mocotí_,Brazil,Sí£o Paulo,"Brazilian, North Eastern",100,No,No,4.4,22
6703176,Veloso,Brazil,Sí£o Paulo,"Brazilian, Bar Food, Beverages",70,No,No,4.6,58
6713772,Sainte Marie Gastronomia,Brazil,Sí£o Paulo,"Lebanese, Arabian",120,No,No,4.1,11
17284404,Austin's BBQ and Oyster Bar,USA,Albany,"BBQ, Burger, Seafood",25,No,No,3.3,35
17284203,BJ's Country Buffet,USA,Albany,"American, BBQ",10,No,No,3.3,25
17284302,El Vaquero Mexican Restaurant,USA,Albany,Mexican,0,No,No,3.4,45
17284397,Elements Coffee Co - Northwest,USA,Albany,"Coffee and Tea, Sandwich",10,No,No,3.4,26
17284094,Chick-fil-A,USA,Albany,Fast Food,10,No,No,3.5,67
17284409,Guang Zhou Chinese Restaurant,USA,Albany,"Asian, Chinese, Vegetarian",10,No,No,3.9,141
17284139,Harvest Moon,USA,Albany,"Pizza, Bar Food, Sandwich",25,No,No,3.7,147
17284403,Henry Campbell's Steakhouse,USA,Albany,"Steak, Tapas, Bar Food",70,No,No,3.5,51
17284145,Hong Kong Cafe,USA,Albany,"Chinese, Seafood, Vegetarian",25,No,No,3.6,88
17284150,House of China Restaurant II,USA,Albany,Chinese,10,No,No,3.8,153
17284175,Locos Grill & Pub,USA,Albany,"American, Burger, Sandwich",25,No,No,3.5,57
17284179,Longhorn Steakhouse,USA,Albany,"American, Steak",25,No,No,3.5,58
17284197,Mikata Japanese Steakhouse,USA,Albany,"Japanese, Steak, Sushi",40,No,No,3.6,115
17284241,Shogun Japanese Steak House,USA,Albany,"Japanese, Steak, Sushi",40,No,No,3.5,51
17284390,The Catch Seafood Room & Oyster Bar,USA,Albany,"Seafood, Tapas, Bar Food",40,No,No,3.8,250
17284279,Villa Gargano,USA,Albany,"Italian, Pizza",10,No,No,3.7,117
17284364,3 Squares Diner,USA,Albany,"American, Breakfast, Diner",10,No,No,3.4,20
16611114,Whitebull Hotel,Australia,Armidale,"Bar Food, Steak",20,No,No,3.5,25
17293281,Last Resort Grill,USA,Athens,"American, Southern, Southwestern",40,No,No,4.5,1821
17293301,Mama's Boy Restaurant,USA,Athens,Southern,10,No,No,4.5,849
17293409,Sr. Sol 1,USA,Athens,Mexican,10,No,No,4.6,917
17293163,Choo Choo Eastside,USA,Athens,"Japanese, Korean",10,No,No,3.9,439
17293228,The Grill,USA,Athens,"Breakfast, Burger, Sandwich",10,No,No,3.7,289
17293880,Big City Bread Cafe,USA,Athens,"Breakfast, Sandwich",10,No,No,4.3,558
17293169,Clocked,USA,Athens,"American, Burger, Sandwich",10,No,No,4.2,613
17293186,DePalma's Italian Cafe - Downtown,USA,Athens,"American, Italian, Pizza",25,No,No,4.0,353
17293180,DePalma's Italian Cafe - East Side,USA,Athens,"American, Italian, Pizza",25,No,No,4.1,387
17293205,Five & Ten,USA,Athens,American,40,No,No,4.3,755
17293229,Grit,USA,Athens,"International, Southern, Vegetarian",10,No,No,4.2,800
17293897,Ike & Jane,USA,Athens,Sandwich,10,No,No,4.1,350
17293273,La Dolce Vita Ristorante,USA,Athens,Italian,40,No,No,4.1,464
17293870,Shokitini,USA,Athens,"Asian, Japanese, Sushi",25,No,No,4.2,550
17293877,Taqueria Del Sol,USA,Athens,"Mexican, Spanish",10,No,No,4.1,543
17293890,The National,USA,Athens,"International, Southern",40,No,No,4.1,465
17293915,The Royal Peasant,USA,Athens,Bar Food,10,No,No,4.4,546
17293422,Transmetropolitan,USA,Athens,"Italian, Pizza, Sandwich",10,No,No,4.4,1098
17293873,Trappeze Pub,USA,Athens,"Burger, Bar Food",25,No,No,4.2,579
17294014,Viva! Argentine Cuisine,USA,Athens,"Desserts, Latin American, Argentine",10,No,No,4.1,374
17294556,Miyabi Kyoto Japanese Steak House,USA,Augusta,"Chinese, Steak",40,No,No,4.6,717
17294607,Rae's Coastal Cafe,USA,Augusta,"American, Caribbean, Seafood",40,No,No,4.9,548
17294279,The Bee's Knees,USA,Augusta,"International, Tapas, Vegetarian",25,No,No,4.5,631
17294300,Boll Weevil Cafe,USA,Augusta,"Desserts, Sandwich, Southern",10,No,No,3.9,372
17295215,Farmhaus Burger,USA,Augusta,"American, Burger",25,No,No,3.9,201
17295028,Manuel's Bread Cafe,USA,Augusta,"Breakfast, French",40,No,No,3.8,332
17294642,Sconyers Bar B Que,USA,Augusta,BBQ,25,No,No,3.5,304
17295109,Frog Hollow Tavern,USA,Augusta,American,40,No,No,4.3,368
17294441,Giuseppe's Pizza & Italian Specialities,USA,Augusta,"Desserts, Italian, Pizza",25,No,No,4.1,430
17294552,Mellow Mushroom,USA,Augusta,"Italian, Pizza, Sandwich",25,No,No,4.4,433
17294565,Nacho Mamas Burritos,USA,Augusta,Mexican,10,No,No,4.0,380
17294623,Rhinehart's Oyster Bar,USA,Augusta,"Bar Food, Sandwich, Seafood",25,No,No,4.0,456
17294712,Takosushi,USA,Augusta,"Mexican, Southwestern, Sushi",40,No,No,4.2,647
17295033,The Chop House,USA,Augusta,Steak,40,No,No,4.0,360
17295069,The Taj of India,USA,Augusta,Indian,25,No,No,4.0,227
17294261,Augsburg Haus,USA,Augusta,German,25,No,No,3.9,290
17295115,Pho Bac,USA,Augusta,Vietnamese,10,No,No,4.1,270
17294836,Rhinehart's Oyster Bar,USA,Augusta,"Burger, Seafood",25,No,No,4.0,326
17294850,Thai Kitchen,USA,Augusta,Thai,35,No,No,4.3,317
17294883,El Kiosco Mexican Restaurant,USA,Augusta,Mexican,10,No,No,4.2,300
16608864,Taste of Balingup,Australia,Balingup,Modern Australian,20,No,No,3.2,21
16604911,Bridge Road Brewers,Australia,Beechworth,"Pizza, Bar Food",20,No,No,4.6,237
17303465,Bardenay,USA,Boise,"American, Bar Food",25,No,No,4.5,879
17303642,Flatbread Neapolitan Pizzeria,USA,Boise,"Italian, Pizza",25,No,No,4.6,615
17303670,Goldy's Breakfast Bistro,USA,Boise,"Breakfast, Sandwich",25,No,No,4.5,879
17303545,Chandlers Steakhouse,USA,Boise,"American, Seafood, Steak",70,No,No,3.9,379
17303655,Bar Gernika Basque Pub & Eatery,USA,Boise,"European, Spanish",10,No,No,4.3,303
17304691,Barbacoa Restaurant,USA,Boise,"Latin American, Steak",70,No,No,4.1,538
17303478,Big Jud's,USA,Boise,"American, Burger, Sandwich",10,No,No,4.2,334
17303480,Bittercreek Ale House,USA,Boise,"American, Bar Food",25,No,No,4.3,555
17304733,Boise Fry Company,USA,Boise,"American, Burger",10,No,No,4.4,823
17303646,Flying Pie Pizzaria,USA,Boise,Pizza,25,No,No,4.1,550
17304929,Fork,USA,Boise,"American, Burger",25,No,No,4.4,650
17303684,Guido's Original New York Style Pizza,USA,Boise,Pizza,10,No,No,4.3,410
17303772,Los Beto's,USA,Boise,Mexican,10,No,No,4.4,660
17305123,Lucianos Italian Restaurant,USA,Boise,"Italian, Seafood, Vegetarian",25,No,No,4.4,360
17303787,Mai Thai Restaurant,USA,Boise,"Sushi, Thai",40,No,No,4.0,340
17303990,Shige Japanese Cuisine,USA,Boise,"Japanese, Sushi, Teriyaki",25,No,No,4.1,393
17304741,The Egg Factory,USA,Boise,Breakfast,10,No,No,4.3,422
17304726,Tucanos,USA,Boise,Brazilian,40,No,No,4.0,435
17304486,Texas Roadhouse,USA,Boise,"American, BBQ, Steak",25,No,No,4.0,369
17304533,Brick 29,USA,Boise,American,40,No,No,4.4,487
17316233,Winifreds,USA,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",40,No,No,3.7,98
17315883,Biaggi's Ristorante Italiano,USA,Cedar Rapids/Iowa City,"Italian, Pizza",40,No,No,4.1,365
17315995,El Super Burrito,USA,Cedar Rapids/Iowa City,Mexican,10,No,No,4.1,190
17316018,Granite City Food & Brewery,USA,Cedar Rapids/Iowa City,"American, Breakfast, Burger",40,No,No,4.1,429
17316038,Irish Democrat,USA,Cedar Rapids/Iowa City,"American, BBQ, Burger",25,No,No,4.4,430
17316771,Taste of India,USA,Cedar Rapids/Iowa City,Indian,25,No,No,4.2,186
17316201,Thai Moon Restaurant,USA,Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",10,No,No,4.2,220
17316208,Ting's Red Lantern,USA,Cedar Rapids/Iowa City,Chinese,10,No,No,4.2,347
17316389,Monica's,USA,Cedar Rapids/Iowa City,"American, Italian, Pizza",25,No,No,3.8,161
17316278,Exotic India,USA,Cedar Rapids/Iowa City,Indian,25,No,No,4.1,160
17316744,Shorts Burger and Shine,USA,Cedar Rapids/Iowa City,Burger,10,No,No,4.9,820
17316751,The Hamburg Inn No. 2 Inc.,USA,Cedar Rapids/Iowa City,"American, Breakfast, Burger",10,No,No,4.5,488
17316766,Bluebird Diner,USA,Cedar Rapids/Iowa City,"Breakfast, Diner",25,No,No,3.6,253
17316743,Graze,USA,Cedar Rapids/Iowa City,"American, International, Sushi",40,No,No,3.8,220
17316374,A & A Pagliai's Pizza,USA,Cedar Rapids/Iowa City,Pizza,25,No,No,4.3,485
17316381,Atlas World Grill,USA,Cedar Rapids/Iowa City,International,40,No,No,4.3,428
17316802,BlackStone,USA,Cedar Rapids/Iowa City,"American, Breakfast",25,No,No,4.1,294
17316416,Devotay,USA,Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",40,No,No,4.0,380
17316449,Jimmy Jack's Rib Shack,USA,Cedar Rapids/Iowa City,BBQ,25,No,No,4.2,259
17316603,Zoeys Pizzeria,USA,Cedar Rapids/Iowa City,"Pizza, Sandwich",25,No,No,4.7,433
16659169,Tokyo Sushi,Canada,Chatham-Kent,"Japanese, Sushi",25,No,No,3.7,176
17558684,Berry Patch Restaurant,USA,Clatskanie,"American, Breakfast, Desserts",10,No,No,4.3,96
18366580,Sakura Sushi & Grill,USA,Cochrane,"Asian, Japanese",25,No,No,3.1,6
17330755,Uptown Vietnam cuisine,USA,Columbus,"Asian, Vietnamese",10,No,No,3.3,33
17330611,Cafe Le Rue @ The Landings,USA,Columbus,"American, Seafood, Cajun",25,No,No,4.6,489
17330609,Mark's City Grille,USA,Columbus,American,25,No,No,4.5,345
17330024,B Merrell's,USA,Columbus,"Burger, Bar Food, Southern",25,No,No,3.8,149
17330074,Cannon Brewpub,USA,Columbus,"Pizza, Bar Food",25,No,No,3.9,330
17330185,Fuji Japanese Steak House,USA,Columbus,"Japanese, Steak",40,No,No,3.9,247
17330397,Ruth Ann's Family Restaurant,USA,Columbus,"Breakfast, Diner, Southern",10,No,No,3.7,123
17330735,Samurai Japanese Cuisine & Sushi Bar,USA,Columbus,"Japanese, Steak, Sushi",40,No,No,3.6,109
17330676,Wasabi Sushi and Thai,USA,Columbus,"Japanese, Sushi, Thai",40,No,No,3.7,134
17330048,Buckhead Bar and Grill,USA,Columbus,"Seafood, Steak, Vegetarian",40,No,No,4.2,722
17330604,Burt's Butcher Shoppe and Eatery,USA,Columbus,Steak,25,No,No,4.3,213
17330087,Chef Lee's Peking Restaurant,USA,Columbus,Chinese,25,No,No,4.0,335
17330137,Country's Barbecue,USA,Columbus,"BBQ, Southern",25,No,No,4.0,353
17330155,Deorio's,USA,Columbus,"Italian, Pizza",0,No,No,4.0,170
17330309,Mellow Mushroom,USA,Columbus,Pizza,25,No,No,4.1,192
17330311,Meritage,USA,Columbus,"American, Tapas",40,No,No,4.1,302
17330615,Mongo The Mongolian Fire Pit,USA,Columbus,"Asian, Chinese",10,No,No,4.2,355
17330638,The Black Cow,USA,Columbus,American,25,No,No,4.3,287
17330628,Wood Stone,USA,Columbus,"Italian, Mediterranean, Pizza",40,No,No,4.0,264
17330546,Hunter's Pub,USA,Columbus,"American, Seafood, Steak",40,No,No,4.4,235
16643459,Consort Restaurant,Canada,Consort,"Chinese, Canadian",25,No,No,3.0,6
17334434,Thatcher's Barbeque and Grill,USA,Dalton,"American, BBQ, Southern",25,No,No,3.7,38
17334348,Christian and Jake's Bistro,USA,Dalton,"Desserts, Sandwich",10,No,No,4.4,122
17334213,Dub's High on the Hog,USA,Dalton,BBQ,25,No,No,4.4,207
17334355,Sierra's Mexican Restaurant,USA,Dalton,"Mexican, Tex-Mex",10,No,No,3.9,66
17334212,Oakwood Cafe,USA,Dalton,"BBQ, Breakfast, Southern",10,No,No,4.9,249
17333797,Chili's Grill & Bar,USA,Dalton,American,25,No,No,3.8,63
17334217,Fuji Japanese Steakhouse,USA,Dalton,"Japanese, Sushi",40,No,No,3.8,145
17334273,Las Palmas,USA,Dalton,Mexican,10,No,No,3.8,83
17334254,Tony's Italian Restaurant & Pizza,USA,Dalton,Italian,25,No,No,3.7,116
17333836,Filling Station,USA,Dalton,"American, Burger",10,No,No,4.1,122
17334197,Five Guys Burgers and Fries,USA,Dalton,Fast Food,10,No,No,4.1,142
17333882,Los Pablos,USA,Dalton,Mexican,10,No,No,4.1,114
17334211,Kobe Hibachi & Sushi,USA,Dalton,"American, Japanese, Sushi",25,No,No,4.6,214
17334390,Soho Hibachi,USA,Dalton,Japanese,10,No,No,4.3,116
17334034,Thai Garden,USA,Dalton,Thai,25,No,No,4.2,111
17334414,Southern Bliss Bakery,USA,Dalton,"Desserts, Sandwich",10,No,No,3.7,25
17334082,Bailey's Bar-B-Que,USA,Dalton,BBQ,10,No,No,4.1,128
17334364,Farm To Fork,USA,Dalton,"American, Diner, Southern",10,No,No,4.3,244
17334398,Home Plate Grill,USA,Dalton,"American, BBQ, Southern",10,No,No,4.2,112
17334219,Pie Slingers Pizzeria,USA,Dalton,"Italian, Pizza",10,No,No,4.1,144
17335173,Olive Tree Cafe,USA,Davenport,"Indian, Mediterranean, Middle Eastern",25,No,No,4.6,166
17335195,"Red Ginger Sushi, Grill & Bar",USA,Davenport,"Sushi, Teriyaki",40,No,No,4.5,208
17335225,Crust Stone Oven Pizza,USA,Davenport,"Burger, Pizza",25,No,No,3.9,136
17335219,Jimmy's Pancake House,USA,Davenport,"American, Breakfast, Greek",10,No,No,4.0,85
17334965,Trattoria Tiramisu,USA,Davenport,Italian,25,No,No,4.1,117
17335189,Prairie Grille at SteepleGate Inn,USA,Davenport,"American, Breakfast",25,No,No,3.4,53
17335156,Tantra Asian Bistro,USA,Davenport,Asian,25,No,No,4.9,474
17334717,Chick-fil-A,USA,Davenport,Fast Food,10,No,No,3.9,125
17334752,Duck City Bistro,USA,Davenport,"American, French",70,No,No,3.7,201
18453427,Frick's Tap,USA,Davenport,"American, Bar Food, BBQ",25,No,No,0.0,2
17793744,Los Agaves,USA,Davenport,Mexican,25,No,No,0.0,3
17334679,Azteca,USA,Davenport,Mexican,0,No,No,4.3,167
17334718,China Cafe,USA,Davenport,Chinese,25,No,No,4.0,112
17334763,Exotic Thai Restaurant,USA,Davenport,Thai,25,No,No,4.1,256
17335158,Front Street Brewery,USA,Davenport,American,10,No,No,4.3,123
17334782,Granite City Food & Brewery,USA,Davenport,American,25,No,No,4.0,199
17334846,Los Agaves,USA,Davenport,Mexican,25,No,No,4.1,157
17334853,Machine Shed Restaurant,USA,Davenport,American,25,No,No,4.1,100
17335168,Osaka,USA,Davenport,"Japanese, Sushi",40,No,No,4.2,141
17334958,Texas Roadhouse,USA,Davenport,"American, BBQ, Steak",25,No,No,4.2,197
17258496,Hickory Park,USA,Des Moines,"BBQ, Burger, Desserts",25,No,No,4.5,1025
17259395,The Cafe,USA,Des Moines,"American, Coffee and Tea",25,No,No,4.9,570
17258350,Flying Mango,USA,Des Moines,"BBQ, Caribbean, Cajun",40,No,No,4.5,674
17258136,Cool Basil,USA,Des Moines,"Asian, Sushi, Thai",25,No,No,4.1,496
17258522,HuHot Mongolian Grill,USA,Des Moines,"Asian, Chinese",25,No,No,4.0,411
17259958,Malo,USA,Des Moines,"Latin American, Mexican",25,No,No,3.2,113
17258036,Centro,USA,Des Moines,"Italian, Pizza",40,No,No,4.5,1109
17259368,Fong's Pizza,USA,Des Moines,"Chinese, Pizza",25,No,No,4.6,728
17257684,A Dong Restaurant,USA,Des Moines,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,No,No,4.4,659
17258154,Court Avenue Brewing Company,USA,Des Moines,"American, Pizza, Bar Food",40,No,No,4.2,370
17259340,Django,USA,Des Moines,French,40,No,No,4.3,532
17259243,Miyabi 9,USA,Des Moines,"Japanese, Sushi",25,No,No,4.8,860
17259625,Zombie Burger + Drink Lab,USA,Des Moines,"Burger, Desserts, Vegetarian",10,No,No,4.2,943
17259169,Tursi's Latin King,USA,Des Moines,"American, Italian",70,No,No,4.1,476
17259166,Tsing Tsao South,USA,Des Moines,Chinese,10,No,No,4.1,218
17259335,Bandit Burrito,USA,Des Moines,"Breakfast, Mexican, Southwestern",10,No,No,4.0,214
17259248,Jethro's BBQ,USA,Des Moines,"American, BBQ",25,No,No,4.3,699
17258552,The Machine Shed Restaurant,USA,Des Moines,"American, Breakfast",25,No,No,3.8,308
17259550,Mi Patria,USA,Des Moines,Latin American,25,No,No,4.0,157
17259200,Waterfront Seafood Market,USA,Des Moines,"Seafood, Sushi",40,No,No,4.2,530
16615894,The Giggling Goat,Australia,Dicky Beach,"Coffee and Tea, Tea, Modern Australian",7,No,No,3.6,29
17342816,Burnt Toast Cafe,USA,Dubuque,Breakfast,10,No,No,3.4,33
17342498,Catfish Charlie's,USA,Dubuque,Seafood,25,No,No,3.3,40
17342648,Salsa's Mexican Restaurant,USA,Dubuque,Mexican,10,No,No,3.4,153
17342781,Tony Roma's,USA,Dubuque,"American, BBQ, Seafood",25,No,No,3.3,65
17342799,Vinny Vanucchi's,USA,Dubuque,Italian,25,No,No,3.4,58
17342772,Champps Americana,USA,Dubuque,"American, Burger, Sandwich",25,No,No,3.5,100
17342771,Fiesta Cancun,USA,Dubuque,Mexican,10,No,No,3.6,156
17342548,Happy Joe's Pizza & Ice Cream,USA,Dubuque,"Desserts, Pizza, Ice Cream",0,No,No,3.5,74
17342556,Houlihan's,USA,Dubuque,"American, Burger",25,No,No,3.6,117
17342811,Ichiban Hibachi Steakhouse & Sushi Bar,USA,Dubuque,"Japanese, Steak, Sushi",40,No,No,3.7,83
17342576,Kalmes Breaktime Bar & Grill,USA,Dubuque,"American, Burger",25,No,No,3.6,48
17342770,L. May Eatery,USA,Dubuque,"International, Pizza",40,No,No,3.8,198
17342585,Los Aztecas,USA,Dubuque,Mexican,10,No,No,3.5,126
17342494,Manna Java World Cafe,USA,Dubuque,"Breakfast, Pizza",10,No,No,3.5,119
17342594,Mario's Italian Restaurant,USA,Dubuque,"American, Italian",25,No,No,3.6,140
17342625,Pepper Sprout Incorporated,USA,Dubuque,American,40,No,No,3.6,159
17342652,Shot Tower Inn,USA,Dubuque,"Italian, Pizza",25,No,No,3.6,131
17342665,Sunshine Family Restaurant,USA,Dubuque,"American, Breakfast, Burger",10,No,No,3.5,60
17342810,Watershed Cafe,USA,Dubuque,"American, Burger, Pizza, Cafe",25,No,No,3.7,89
17342775,Woodfire Grille,USA,Dubuque,"American, Seafood, Steak",70,No,No,3.6,72
16612028,The Belle General,Australia,East Ballina,Cafe,20,No,No,4.1,56
17536645,Jehova es Mi Pastor Tacos y Burritos,USA,Fernley,Mexican,10,No,No,3.7,83
16613507,Flaxton Gardens,Australia,Flaxton,"Tea, Modern Australian",30,No,No,3.5,37
16607969,Bespoke Harvest,Australia,Forrest,"Cafe, Australian",20,No,No,3.7,29
17374405,Houndstooth Grill & Tavern,USA,Gainesville,"American, Sandwich, Seafood",25,No,No,4.4,239
17375060,Hawg Wild BBQ & Catfish House,USA,Gainesville,"BBQ, Burger, Seafood",10,No,No,4.1,235
17375164,Bourbon Street Grille,USA,Gainesville,"American, Burger, Cajun",25,No,No,3.8,88
17375078,Smokin Gold BBQ,USA,Gainesville,BBQ,10,No,No,3.9,133
